"study.hrs.perwk","attendance.rate","previous.grades","extracurricular.activities","parent.edu.level","passed"
21,90.4,74.3,"Yes","Associate","No"
7.9,67.2,64.3,"Yes","Bachelor","No"
10,85.2,47.7,"No","Master","No"
17.7,61.4,77.1,"No","Master","No"
8.2,91.7,68.4,"Yes","Bachelor","Yes"
11.7,76.7,65.6,"Yes","Master","No"
10.4,75.5,92.5,"Yes","Doctorate","Yes"
15.1,78,79.4,"Yes","Associate","Yes"
23.2,57,62.8,"No","Associate","No"
13,71.9,42,"No","Associate","No"
10.2,73.1,39.6,"Yes","Associate","No"
21.9,79.4,62.5,"Yes","Doctorate","Yes"
10.9,91.3,83.5,"No","Associate","Yes"
8.6,84.7,75.8,"No","Associate","Yes"
5.8,40.7,31.6,"Yes","Master","Yes"
15.5,58.3,52.7,"Yes","Master","No"
7.5,90.7,59,"No","High School","No"
12.9,42.6,69.7,"Yes","Master","Yes"
5.5,49.9,77.3,"Yes","Associate","Yes"
16.7,43.2,74.2,"Yes","Bachelor","Yes"
11.6,42.1,56.1,"Yes","High School","No"
9.5,50.4,28.2,"No","Bachelor","Yes"
8.3,73.9,64.8,"No","Bachelor","Yes"
8.4,61.3,73.6,"Yes","Doctorate","No"
9.8,68.7,66,"Yes","High School","No"
13.7,59.8,71.2,"Yes","High School","Yes"
5.6,80,67,"No","Bachelor","Yes"
10.4,96.1,59.2,"No","Master","Yes"
4.3,78.6,64.5,"No","Bachelor","Yes"
11.2,60.7,62.8,"Yes","Associate","No"
7.1,77.9,79.2,"No","Doctorate","No"
11.2,95.4,71.5,"No","Associate","Yes"
5.5,52.9,73.9,"No","Associate","Yes"
15.3,85.5,52.8,"No","Bachelor","Yes"
5.7,78.5,42.8,"No","Associate","Yes"
6.4,51.9,51.9,"Yes","Bachelor","Yes"
3.7,79.7,53.9,"Yes","Master","No"
5.6,64.7,66.2,"No","Associate","Yes"
14.1,64.7,78,"No","High School","Yes"
5.8,64.3,86.8,"No","Doctorate","Yes"
10.7,73.2,74.5,"No","Doctorate","No"
17.7,68.8,69.2,"Yes","Doctorate","Yes"
6.1,74.5,45.2,"Yes","Master","Yes"
15.9,90.4,67.3,"Yes","High School","No"
2.7,70.3,43.2,"No","High School","Yes"
11.5,55.1,68,"No","Bachelor","Yes"
7.3,95.8,38.3,"Yes","Master","No"
6,79.9,36.9,"No","Associate","No"
15.4,71,75.5,"Yes","Bachelor","No"
7.1,60.3,58.3,"No","Associate","No"
10.2,95.9,45.5,"No","Bachelor","Yes"
14.8,63.8,58.6,"No","High School","Yes"
9.8,86.6,69.7,"No","High School","No"
8.9,60.1,81.7,"No","Master","Yes"
8.1,92.9,76,"Yes","Associate","No"
2.6,74.9,49.8,"Yes","Master","No"
11.3,94.2,83.6,"No","High School","Yes"
5.6,75.4,68.6,"No","Associate","No"
5.6,77.4,81,"No","Associate","No"
13.6,65.5,37.1,"Yes","Doctorate","No"
12.2,73.2,62.7,"No","Master","Yes"
9.2,78.2,47.9,"No","High School","No"
10.7,74,76.3,"Yes","Associate","No"
14.4,66.6,47.5,"Yes","High School","Yes"
3.7,82.8,79.4,"No","Associate","No"
17.9,84.4,66.4,"Yes","Bachelor","No"
15.7,67.2,37.6,"No","Bachelor","No"
9.2,53.6,55.9,"No","High School","No"
9.2,75.5,48.1,"No","Doctorate","No"
12.2,75.8,28.8,"Yes","Master","Yes"
5.6,36.4,57,"Yes","Doctorate","No"
10.7,60.5,61.1,"No","High School","Yes"
8.1,98.2,43,"No","Doctorate","No"
3.4,69.8,81.2,"Yes","Bachelor","Yes"
11.7,25.9,70.6,"Yes","Doctorate","No"
9.2,57.2,72.7,"No","Bachelor","No"
18,96.2,69,"No","High School","No"
14.4,60.2,88.2,"No","High School","No"
14.8,35.6,33.6,"Yes","Bachelor","Yes"
8.5,79.4,73,"No","High School","Yes"
1.4,90.9,59.4,"Yes","Associate","Yes"
9.7,72.5,70.5,"Yes","Master","Yes"
15.8,68.6,62.3,"Yes","Associate","No"
9.9,88,71.3,"Yes","Associate","Yes"
16.4,77,55.6,"No","High School","No"
6.6,92.7,77.9,"No","Doctorate","No"
3.6,69.3,44.4,"Yes","Associate","No"
7.6,42.6,66.1,"No","Master","Yes"
8.5,64,71.9,"Yes","High School","Yes"
8.2,29.6,74.5,"Yes","Doctorate","No"
7.2,69.5,54.4,"Yes","Associate","No"
4.5,61.3,75.1,"No","Doctorate","Yes"
19.3,98.6,89.9,"No","Doctorate","Yes"
4.2,48.4,45.7,"No","Master","No"
8,52.2,73.6,"Yes","Master","No"
10.6,96.4,62.4,"Yes","High School","No"
6.7,82.2,83.9,"Yes","Doctorate","Yes"
14.9,81.2,72.4,"Yes","High School","Yes"
10.6,51,54.2,"Yes","Master","Yes"
5.5,75.8,52.4,"Yes","Bachelor","No"
1.8,68.1,61.4,"No","Associate","Yes"
10.1,63.1,78.2,"Yes","Doctorate","No"
4,75.6,71.4,"Yes","High School","No"
16,86,76.5,"No","Master","No"
12.6,83.7,81,"Yes","Master","No"
8.4,79.8,52.2,"No","High School","No"
2.9,71.6,58.3,"No","Master","No"
6.8,46.7,54.9,"Yes","Bachelor","Yes"
11.5,89,54.8,"Yes","Doctorate","Yes"
8.2,45.3,45.8,"No","Associate","No"
9.1,89,53.4,"No","Doctorate","Yes"
14.8,57.8,69.4,"Yes","High School","Yes"
6.8,55.3,61.3,"Yes","Doctorate","No"
6.2,53.5,86.2,"No","Bachelor","Yes"
11.8,51.5,77.8,"No","Associate","No"
5.3,74.1,52.2,"No","Doctorate","No"
16.7,78.1,57.2,"Yes","Bachelor","Yes"
12.5,73.4,43.4,"No","High School","No"
12.7,76,75.4,"Yes","High School","No"
1.5,75.7,77.4,"No","Doctorate","Yes"
15,47.3,52,"No","High School","Yes"
8.2,96,70,"No","Associate","Yes"
23.2,87.7,54.9,"Yes","Bachelor","Yes"
11.5,86.2,65.7,"No","Associate","Yes"
8.1,55.2,61.4,"Yes","High School","No"
1,46.7,54.5,"Yes","Master","No"
3.3,75.6,56,"Yes","High School","No"
5,78.4,64.2,"No","Doctorate","No"
8.3,79.3,76.9,"No","Doctorate","No"
13.9,87.9,44.3,"Yes","Associate","Yes"
7,88.8,59.1,"Yes","Doctorate","Yes"
10.7,86.6,51.2,"Yes","High School","No"
10.4,49.1,51.9,"Yes","Master","No"
14.8,51.7,48.2,"Yes","Master","No"
12.5,97.4,70.1,"No","Master","No"
13.7,83.8,90,"No","High School","No"
4.6,76.5,64.5,"No","Associate","Yes"
8,77.6,72.1,"No","Associate","No"
10.4,59.8,59.4,"No","Doctorate","No"
9.1,61.2,74.7,"No","High School","Yes"
4,89.9,69.7,"No","Doctorate","No"
10.3,94.4,45.8,"No","High School","Yes"
10.6,57.6,64.4,"Yes","Doctorate","No"
10.9,58,52.5,"No","High School","No"
14.6,77.3,78.8,"No","Doctorate","Yes"
7,63.1,90.6,"No","Associate","Yes"
4.8,81.4,48.6,"Yes","Master","Yes"
17.2,85.5,75.1,"Yes","High School","No"
8.4,75.6,65.8,"No","High School","Yes"
8.8,68.9,60.8,"No","Bachelor","No"
17.3,81.6,65.8,"No","Master","No"
4,71.3,60.7,"Yes","Associate","Yes"
13.4,78.6,72,"No","Bachelor","No"
7.1,89.8,67.4,"Yes","Associate","Yes"
8.9,83.9,70.6,"No","Bachelor","No"
2.8,87.9,55.3,"No","Master","Yes"
14.8,58.2,62.6,"No","Doctorate","No"
0.3,51.4,75.3,"Yes","High School","No"
14.9,96.7,88.5,"No","High School","No"
5.9,56.3,36.4,"No","Master","Yes"
9.7,73.4,64.3,"Yes","Bachelor","No"
16.1,87.1,79.6,"No","Bachelor","No"
3.8,98.1,63.4,"No","Bachelor","Yes"
13,86.4,65.7,"No","High School","No"
15.5,71.9,79.4,"No","Associate","No"
21.6,90.4,57.1,"No","Master","No"
7.4,80.5,66.7,"Yes","Associate","Yes"
16.2,80.2,57.3,"Yes","Doctorate","Yes"
10,88.1,50,"No","Bachelor","Yes"
8.1,67.2,72.6,"Yes","High School","No"
16.5,97.6,68.1,"No","High School","Yes"
7.5,43.3,51.6,"Yes","Associate","Yes"
7.4,36.2,78,"Yes","Master","Yes"
13.1,47.5,57.6,"No","Doctorate","Yes"
17,80,98.6,"No","High School","Yes"
16.6,68.4,65.7,"No","Master","No"
3.2,64.4,61.6,"Yes","Associate","No"
7.8,59.3,43.8,"Yes","Bachelor","Yes"
8.6,81.3,43.8,"No","Associate","Yes"
9.4,74,85.8,"Yes","Doctorate","No"
10.4,92.7,85.1,"Yes","Bachelor","No"
13.5,76.6,50.2,"Yes","Doctorate","Yes"
9.8,38.4,45.1,"No","Associate","No"
9.3,68.1,67.5,"Yes","High School","Yes"
9.2,82.8,83.5,"No","High School","No"
10.4,74.8,73.8,"Yes","Doctorate","Yes"
16.4,77.7,75.5,"No","Doctorate","No"
4.2,36.8,64.5,"No","Master","Yes"
4.8,50.7,60.1,"No","Doctorate","Yes"
3.2,77.6,93.3,"Yes","Associate","No"
0.4,49.3,69.1,"No","Associate","No"
8.8,45.1,44.3,"Yes","Associate","Yes"
20.7,72.6,55.5,"No","Bachelor","No"
2.3,74.3,54.2,"Yes","Associate","Yes"
0.1,89.2,62.3,"Yes","Bachelor","No"
14.5,90.6,39.2,"No","Doctorate","Yes"
15.6,47.2,66.6,"No","Bachelor","Yes"
17,90.6,94.6,"Yes","Master","No"
1.5,86.2,31.7,"Yes","Master","Yes"
7.9,71.1,63.9,"Yes","Bachelor","No"
15.6,62.5,61,"No","Bachelor","Yes"
11.8,83.4,78.5,"Yes","Doctorate","No"
10.3,83,75.4,"No","Bachelor","Yes"
14.5,71.3,80.9,"No","Associate","Yes"
10.4,67.3,54.3,"Yes","Bachelor","Yes"
20.3,69.8,62.7,"No","Bachelor","No"
2.8,95,51.5,"No","Master","Yes"
7.4,48,50.6,"Yes","Master","No"
9.4,76.3,50.7,"Yes","Bachelor","No"
16.3,82.5,88.8,"Yes","Bachelor","No"
2.9,85.1,73.1,"Yes","Doctorate","Yes"
13.8,69.9,49.7,"Yes","Doctorate","Yes"
0.3,87.6,60.7,"No","Doctorate","Yes"
10,77.5,71.1,"No","Doctorate","No"
6.7,65.4,68.6,"Yes","Bachelor","No"
14,99.7,68.2,"Yes","Master","Yes"
10.6,67.7,56.7,"No","Doctorate","No"
3.6,66.7,43.4,"Yes","Master","No"
14.4,82.7,60.7,"Yes","Doctorate","No"
11.7,68.8,63.1,"Yes","Associate","No"
5.9,61.1,42.1,"Yes","Associate","No"
12.5,72,55.8,"Yes","Bachelor","No"
12.6,63.8,85,"Yes","High School","Yes"
16.7,69.1,73.4,"No","High School","No"
7.8,71.6,47.9,"Yes","Doctorate","Yes"
10.9,57.7,43.2,"No","Associate","Yes"
9.5,77.7,78.1,"Yes","Associate","Yes"
1,72.9,80.2,"No","Associate","Yes"
11.7,76.4,42.5,"No","High School","No"
11.8,50.1,81.8,"No","Doctorate","No"
6.6,74.1,96.5,"No","Associate","Yes"
3.6,90.2,61.9,"Yes","Bachelor","Yes"
5.9,75.8,64.5,"Yes","Master","No"
16.5,89.4,51.2,"No","High School","Yes"
12.5,56.7,66.8,"No","Associate","No"
16.8,61.6,37,"No","Master","No"
7.7,47.1,70.4,"Yes","Doctorate","Yes"
6.9,96.2,82,"No","Master","Yes"
2.6,60.5,66.9,"No","High School","No"
8.4,78.9,78.9,"No","Doctorate","Yes"
12.5,69.5,72.9,"Yes","High School","No"
12.6,84.3,38.9,"Yes","Bachelor","Yes"
0.5,61.2,70.9,"Yes","Doctorate","Yes"
9.4,49.3,56.7,"Yes","Master","No"
3.1,56.2,72.5,"Yes","High School","Yes"
14.5,71.1,71.5,"No","Associate","Yes"
13.9,84.4,66.2,"Yes","Associate","No"
7.7,84.4,79.1,"Yes","Doctorate","No"
11.7,61.8,76.9,"Yes","Bachelor","No"
4.5,53.9,57.7,"Yes","Bachelor","No"
2.5,68.7,73,"Yes","Doctorate","Yes"
5,71.3,57.3,"Yes","Associate","No"
4.1,26.2,67.3,"No","Doctorate","Yes"
6.5,63.9,70.9,"No","Associate","No"
8.1,79.5,66,"No","Bachelor","Yes"
3.7,59,44.9,"No","Doctorate","No"
9.2,66.2,87.3,"No","High School","No"
4,67.4,66.3,"No","Associate","No"
14,63.3,72.8,"Yes","Master","No"
5.8,63.9,74,"No","Bachelor","Yes"
12.7,47.4,83.6,"Yes","Bachelor","No"
6.7,53.3,34.5,"Yes","Master","Yes"
8.4,52.9,54.3,"No","Doctorate","Yes"
10.6,58.5,70,"No","Doctorate","No"
1.9,92.9,67,"No","Bachelor","No"
0.9,95.7,66.1,"Yes","Doctorate","Yes"
13.1,80.4,63.9,"Yes","Associate","Yes"
15.2,79.3,60.2,"No","Doctorate","Yes"
5.4,61.6,45.9,"No","Doctorate","No"
8.8,33.4,44.3,"No","Master","Yes"
13.5,81,48.6,"No","High School","Yes"
0.1,61.5,43.8,"Yes","Doctorate","No"
5.6,53.5,43.5,"No","Bachelor","No"
8.3,49.5,60.9,"No","Bachelor","Yes"
13.5,78.4,80.8,"Yes","Bachelor","Yes"
22.5,76.6,71.6,"Yes","High School","No"
8.9,98.9,51.1,"No","High School","Yes"
12,69.2,93.5,"No","Doctorate","Yes"
10.5,64,48.7,"Yes","Doctorate","Yes"
5.5,91.8,60.7,"No","Doctorate","Yes"
13.3,52.9,52.2,"No","Doctorate","Yes"
4.9,65.8,65.5,"Yes","Master","No"
15,81.5,45.2,"Yes","Bachelor","Yes"
15.9,77.3,70.8,"Yes","Master","Yes"
8.2,88.1,71.8,"No","Bachelor","Yes"
16.1,82.8,80.5,"No","Doctorate","No"
3.9,79.3,73.1,"No","Doctorate","Yes"
12.2,75.2,54.5,"Yes","Associate","No"
17.1,87.6,72.1,"No","Doctorate","No"
14.4,60.2,76.1,"No","Associate","No"
6.2,79.9,83,"No","Associate","Yes"
8.5,58.8,38.6,"No","Associate","No"
6.5,79.8,55.3,"No","Master","Yes"
18.5,56.2,73.7,"Yes","Associate","No"
3.5,90.2,84.1,"Yes","Doctorate","No"
11.7,53.2,63.8,"No","High School","No"
9.6,45.9,79.5,"No","Master","Yes"
8.2,93.5,69.5,"Yes","High School","Yes"
14,65.3,52,"No","Master","No"
8.3,65.9,67.9,"Yes","High School","No"
6,86.2,65.9,"No","Bachelor","Yes"
12.9,69.5,56,"Yes","Doctorate","Yes"
12.3,80.9,69.5,"Yes","Doctorate","No"
17.7,85.3,64.5,"Yes","High School","No"
16.3,40.4,57.1,"No","Bachelor","Yes"
6.6,79.7,97,"No","Bachelor","Yes"
14.1,96.8,60.3,"Yes","Doctorate","No"
13.5,67.6,93.2,"Yes","Associate","No"
7.4,46.7,49.9,"No","Associate","Yes"
4.9,85.2,77.6,"No","Associate","No"
1.2,98.2,70.9,"Yes","Doctorate","No"
10.4,67.1,49.7,"Yes","Associate","No"
8.2,76.8,68.8,"No","High School","Yes"
2.1,92.4,53.9,"Yes","High School","No"
5.9,43.4,74.7,"No","Bachelor","No"
9.9,74,52.9,"No","High School","Yes"
12,63.9,62.4,"Yes","Master","No"
6.3,75.8,46.6,"Yes","Master","Yes"
3,84.2,86.2,"No","Associate","No"
9.5,72.9,53.2,"No","Doctorate","No"
15.6,41.5,72.8,"No","High School","No"
13.4,60.6,53.1,"Yes","Doctorate","No"
8.5,86.4,80.2,"Yes","Bachelor","Yes"
16.7,33,63.8,"Yes","High School","No"
9,99.2,76.5,"Yes","Bachelor","Yes"
17.4,51.9,77.6,"Yes","Doctorate","Yes"
17.4,77,55.7,"No","High School","Yes"
9,55.1,66.9,"Yes","Master","Yes"
11.1,60.7,59.8,"No","Bachelor","No"
16.4,87.6,65.4,"Yes","Bachelor","No"
9.3,52.3,78.8,"No","Doctorate","Yes"
3.4,63.4,47.8,"Yes","Associate","Yes"
20.7,85.3,38.8,"No","Master","No"
15.8,54.2,51.5,"Yes","Bachelor","No"
8.6,66.8,71.1,"No","Associate","Yes"
11.2,69.5,80,"No","Doctorate","No"
8.7,74.4,58.8,"Yes","Master","No"
18,82.6,53,"Yes","Doctorate","Yes"
8.7,75.2,74.9,"No","Bachelor","Yes"
5.6,33.5,59.9,"Yes","Bachelor","No"
11.3,47.3,75.4,"Yes","Doctorate","Yes"
8.9,86.2,64.7,"Yes","Master","No"
4.1,39.5,56.7,"No","High School","No"
17.3,85,73.8,"No","Associate","Yes"
6.9,59.4,36.5,"Yes","Doctorate","Yes"
0.8,98.6,78.3,"Yes","Doctorate","Yes"
16.6,78.4,49.5,"No","Bachelor","Yes"
7.5,42.3,76,"Yes","Master","No"
7,93.3,42.6,"Yes","High School","No"
18.7,49.5,71.8,"Yes","Doctorate","Yes"
3.6,58.9,78.1,"No","High School","No"
10.3,85,54.6,"Yes","Master","Yes"
14.6,88.6,51.1,"No","Bachelor","Yes"
9.7,92.8,93.5,"No","High School","No"
6,75.4,25.8,"No","Master","Yes"
6.1,63.6,62.8,"No","Master","Yes"
11,64.5,51.4,"No","Doctorate","No"
13.4,77.9,65.9,"Yes","High School","Yes"
14.8,63.3,94.2,"Yes","Master","Yes"
3.9,23.7,74.9,"No","Bachelor","No"
13.8,96.5,67.4,"Yes","High School","Yes"
10,76.5,72.2,"Yes","High School","Yes"
15.4,76.6,90.5,"No","Associate","Yes"
21.8,59.7,51.5,"Yes","Bachelor","No"
11,82.3,47.8,"Yes","High School","Yes"
11.8,57.9,71.3,"Yes","Doctorate","No"
6.7,96.2,62.2,"No","Bachelor","Yes"
0.2,45.4,86.7,"Yes","Bachelor","No"
11.9,39.9,66.2,"Yes","High School","Yes"
17.3,46.5,33.1,"Yes","Associate","No"
7,65.1,73.2,"Yes","Bachelor","No"
2.2,92.6,86.4,"Yes","Associate","No"
6.2,75.7,74,"Yes","Associate","No"
8,73.3,53.8,"Yes","Master","Yes"
11.9,64.8,74.2,"No","Doctorate","Yes"
8,89.4,93.2,"No","Associate","Yes"
5.7,73.1,73.9,"No","High School","No"
6.7,45,99.8,"No","Doctorate","Yes"
5.1,51.6,54.1,"No","Master","Yes"
19,96.4,65.9,"Yes","High School","Yes"
15.5,45.6,50,"No","High School","Yes"
11.3,62.4,87.9,"Yes","Doctorate","Yes"
6.3,76.3,33.7,"No","High School","No"
7.3,87.5,83.3,"No","Associate","Yes"
19.1,72.8,72.7,"No","Doctorate","Yes"
17.7,40.4,89.3,"Yes","Bachelor","No"
11.5,80.2,25.7,"No","Doctorate","Yes"
14.2,75.3,57.8,"No","High School","Yes"
3.5,82.4,73.3,"Yes","Associate","No"
5.4,81.9,50.5,"Yes","Master","Yes"
3.7,97,31.3,"Yes","Doctorate","Yes"
11.9,91.6,78.8,"No","Bachelor","Yes"
13.5,86.2,62.6,"Yes","High School","Yes"
6.7,64.8,61.5,"No","High School","Yes"
11.8,51.3,57.8,"No","High School","Yes"
10.6,62.4,59.7,"No","Associate","Yes"
14.7,53.7,36.3,"Yes","High School","No"
13.9,63.7,73.9,"Yes","Master","Yes"
10.2,68.3,75.8,"Yes","Doctorate","No"
5.5,56.8,66.9,"Yes","High School","Yes"
6.7,75.2,63.9,"No","Bachelor","Yes"
7.3,51.4,67.7,"No","High School","No"
8.4,73.5,65.7,"Yes","Master","No"
11.3,65.1,38.4,"No","Associate","No"
9.7,82.9,68.2,"No","Master","Yes"
10.1,66.6,54,"Yes","High School","No"
10.7,59.4,78.3,"No","Master","Yes"
7.4,61.9,44.7,"Yes","Master","Yes"
6.5,64.7,60.8,"No","Master","No"
12.4,71.9,42.5,"No","High School","Yes"
6.5,40.9,57,"Yes","Associate","Yes"
12.3,46,59.9,"Yes","Bachelor","Yes"
15,45,73.6,"No","Master","Yes"
15.6,57,72.5,"Yes","Associate","No"
4.4,57.1,60.6,"No","Master","No"
5.9,41.6,86.8,"Yes","Associate","No"
16,92.3,72.6,"Yes","Bachelor","Yes"
9.3,80.5,82.7,"No","Master","No"
3,55.1,62.5,"Yes","Doctorate","Yes"
7.9,67.8,83.8,"Yes","Bachelor","Yes"
1,65.7,43.2,"Yes","Doctorate","Yes"
8.5,78.4,58.9,"Yes","Doctorate","No"
15.4,93.1,88.1,"Yes","Doctorate","No"
17.2,60.5,58.6,"No","Master","Yes"
11.4,67.7,73.7,"No","Master","Yes"
0.2,88.4,49.2,"No","Associate","No"
12.3,76,66.9,"Yes","Bachelor","Yes"
15.2,84.4,56,"No","Doctorate","No"
18.7,37.4,63.6,"Yes","Associate","Yes"
14.3,31.9,92.5,"Yes","High School","Yes"
12.8,67.4,71.9,"No","Bachelor","No"
15.4,47,45.4,"No","Bachelor","Yes"
2.5,74.6,58.4,"Yes","Master","Yes"
16,53.2,86.3,"No","Bachelor","No"
6,52.6,56.6,"Yes","Associate","Yes"
18.4,34.4,62.8,"Yes","Bachelor","Yes"
5.6,66.5,89.9,"Yes","Associate","Yes"
10.7,81.3,58.5,"No","Bachelor","No"
6.6,70.4,79.6,"No","Bachelor","Yes"
13.1,32.6,52.4,"Yes","Associate","Yes"
14.1,58.3,59.4,"No","High School","No"
11.7,48.2,78.7,"Yes","Master","No"
4.9,98.7,74.4,"No","High School","No"
1.4,85.3,71.4,"Yes","Bachelor","No"
8,48.7,57.8,"No","Associate","No"
2.2,45.4,75.9,"Yes","Associate","No"
2.5,31.2,41,"Yes","High School","No"
5.2,85.3,73.1,"No","Doctorate","No"
12.6,61.3,72.1,"Yes","Master","Yes"
7.5,94.5,53.8,"No","High School","Yes"
9.1,88.1,56.1,"Yes","Associate","No"
14.5,60.4,68.6,"No","High School","No"
6.2,82.8,57.7,"Yes","Master","No"
11.8,55.8,63.8,"No","Associate","Yes"
1.9,70.3,64.8,"Yes","High School","No"
12.5,91,67.5,"Yes","Associate","Yes"
20.3,92.6,88.8,"No","Associate","No"
10.8,83.1,99.6,"No","Bachelor","No"
14.1,82.2,63,"Yes","Associate","No"
9,63.8,48.3,"No","High School","No"
18.3,49.3,64.3,"No","Doctorate","Yes"
20.7,94.1,65.4,"No","High School","Yes"
11.4,83.2,57.2,"Yes","Doctorate","No"
18.3,83.2,60.2,"Yes","Doctorate","No"
6.9,41.2,66.6,"No","Doctorate","Yes"
9.8,49.8,79.6,"Yes","Master","Yes"
10.2,52.3,79,"No","Master","Yes"
4.5,91.2,74.7,"Yes","High School","Yes"
14.1,55.7,63.7,"Yes","Bachelor","No"
11.6,58.6,74.1,"Yes","Doctorate","Yes"
14.1,66.6,67,"Yes","Doctorate","Yes"
9.2,92.9,61.6,"Yes","Master","No"
16,85.1,97.6,"No","Bachelor","No"
10,50,72.7,"Yes","Bachelor","Yes"
8.7,76.8,76.2,"No","Associate","No"
13.4,32.2,71.6,"Yes","Master","Yes"
7.9,58.1,70.7,"Yes","Master","Yes"
4.3,51.6,57.9,"Yes","Associate","Yes"
13.4,67.5,52.3,"No","Master","Yes"
9.6,84.2,77.1,"Yes","Bachelor","No"
14.5,89.1,52.8,"Yes","High School","No"
9,88.5,68.5,"No","Master","No"
17.7,89,83.3,"Yes","Bachelor","No"
17.9,77.6,79,"Yes","Doctorate","Yes"
5.3,65.9,61,"No","Associate","No"
5.5,72.1,48.6,"Yes","Bachelor","Yes"
1.8,83.8,55,"Yes","Doctorate","No"
18.4,74.5,65.7,"No","High School","No"
5.7,81.7,62,"Yes","High School","No"
9.4,48.5,61.3,"Yes","Bachelor","No"
5.4,43.4,69.1,"Yes","Associate","Yes"
3.5,49.6,57.7,"Yes","Doctorate","Yes"
12.2,59.2,46.8,"No","Doctorate","Yes"
2.8,77.1,62.7,"Yes","Doctorate","No"
5.8,43.2,34.3,"No","Doctorate","Yes"
2.6,41,73.3,"No","High School","No"
7.3,66.2,59.4,"No","Doctorate","Yes"
20,74.8,88.4,"Yes","Bachelor","No"
19.2,50.5,72.2,"No","Associate","No"
5.7,63.4,45.3,"Yes","High School","No"
12.8,90.8,60,"No","Master","No"
13.7,69.6,86.2,"Yes","Associate","Yes"
9.9,76,85.5,"Yes","Bachelor","No"
9.1,87.3,46.4,"Yes","Bachelor","Yes"
7.8,90.3,56.1,"Yes","High School","No"
12.2,73.6,63.4,"No","Master","Yes"
6.2,59.2,57.5,"No","Associate","Yes"
10.5,61,77,"No","Doctorate","No"
11.9,82.4,72.6,"Yes","Master","Yes"
14.6,95.6,91.5,"Yes","Master","No"
8.7,87.3,46.9,"No","High School","No"
6.8,70.2,53.6,"No","Bachelor","No"
7.2,89.6,89.8,"No","Bachelor","No"
19.4,83.4,51.9,"Yes","High School","Yes"
10.5,63.1,56.6,"No","Doctorate","No"
12.4,62.8,72.6,"No","High School","No"
22.6,70.7,61.2,"Yes","Doctorate","Yes"
4.4,87.6,60.4,"No","Doctorate","Yes"
6.2,95.1,72.9,"No","Associate","No"
10.2,97.1,65.4,"No","Bachelor","Yes"
1.4,70.7,56.1,"No","High School","Yes"
18.5,72.9,66.1,"Yes","Bachelor","Yes"
10.8,65.1,79.7,"No","Associate","Yes"
8.5,81.7,72.7,"No","Master","Yes"
14.5,60.2,82.7,"No","Bachelor","Yes"
5.9,71.8,68.9,"Yes","Doctorate","Yes"
19.2,66.1,72,"No","Associate","Yes"
19.7,77.8,60.6,"Yes","Master","No"
11.3,90.9,58.1,"No","Doctorate","Yes"
9.9,69.7,67.8,"Yes","Doctorate","Yes"
15.2,86.5,51.6,"No","Associate","No"
6,92.8,68.1,"No","Master","No"
7.4,65.9,49.6,"No","Doctorate","No"
3.4,65.6,84.4,"Yes","High School","Yes"
12,83,86.8,"Yes","Master","Yes"
13.3,84.1,85.5,"No","Doctorate","Yes"
3.3,72.8,62.5,"No","High School","Yes"
7.7,57.2,67.7,"Yes","Bachelor","Yes"
3.3,65.4,59.9,"Yes","Doctorate","No"
5.5,76.9,76.2,"No","Doctorate","No"
12.8,84.8,62.5,"No","High School","Yes"
6.3,58.5,68.3,"Yes","High School","Yes"
10.9,73.3,64.5,"No","Bachelor","Yes"
9.1,69.1,38.6,"No","Associate","Yes"
10.9,92.1,55.5,"Yes","Associate","Yes"
5.9,62.7,56.1,"Yes","Master","Yes"
2.6,84.7,46.4,"Yes","Master","Yes"
19,50.8,94.4,"No","High School","No"
6.8,43.7,64.5,"Yes","Bachelor","No"
9.5,83.4,62.6,"Yes","Master","Yes"
15.1,73.9,74.5,"No","Master","No"
12.2,68.8,56.4,"Yes","Associate","Yes"
6.5,62.3,85.9,"No","Master","No"
7.3,60.2,67.1,"No","High School","Yes"
6.4,56,85.9,"Yes","Doctorate","No"
9.8,68.8,30,"No","Doctorate","No"
2.6,97.9,46.8,"Yes","High School","No"
10.3,93.5,60.4,"No","Associate","Yes"
8.2,49.2,59.7,"No","Master","Yes"
4.2,90,52.7,"Yes","Associate","No"
5.5,73,58.1,"Yes","High School","No"
0.5,92,52.4,"No","Doctorate","Yes"
16.7,63.3,70.7,"Yes","Associate","No"
6.6,68.3,76.9,"Yes","High School","Yes"
15.3,70.7,74.5,"Yes","Bachelor","No"
4.6,49.9,35.5,"No","Master","Yes"
22.8,35.9,78.2,"No","Doctorate","Yes"
12.2,77,63.8,"No","Master","Yes"
0.2,86.2,87.3,"Yes","Associate","Yes"
3.4,90.9,60.4,"Yes","Master","No"
4.3,51.4,41.4,"Yes","High School","Yes"
9.7,37.7,66.8,"No","Bachelor","Yes"
4.6,86.8,86.7,"No","High School","No"
6.1,94.7,43.2,"Yes","Associate","No"
14.3,49.5,54.4,"Yes","High School","Yes"
11.2,49.5,64.4,"No","Doctorate","No"
10,81.9,73.1,"No","Doctorate","No"
17.2,76.7,55.1,"No","Associate","No"
7.9,71,33.4,"No","Master","No"
3.5,72.7,82.1,"No","Associate","Yes"
1,76.8,47.6,"No","High School","Yes"
8.2,83,70.5,"Yes","High School","Yes"
15.9,84.3,73.6,"No","Associate","No"
6.7,60.8,66.2,"No","Doctorate","No"
